Latitude (decimal degrees):	51.339
Longitude (decimal degrees):	-1.262
Elevation (m):	98
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 15 deg. 
Nominal power of the PV system (c-Si) (kWp):	3.2
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050108:1710,0.0,0.0,0.0,6.05,5.66,0.0
20050108:1810,0.0,0.0,0.0,5.71,5.38,0.0
20050108:1910,0.0,0.0,0.0,5.41,5.31,0.0
20050108:2010,0.0,0.0,0.0,5.17,5.31,0.0
20050108:2110,0.0,0.0,0.0,5.1,5.24,0.0
20050108:2210,0.0,0.0,0.0,5.15,5.24,0.0
20050108:2310,0.0,0.0,0.0,5.22,5.45,0.0
20050109:0010,0.0,0.0,0.0,5.31,5.52,0.0
20050109:0110,0.0,0.0,0.0,5.14,5.52,0.0
20050109:0210,0.0,0.0,0.0,5.13,5.52,0.0
20050109:0310,0.0,0.0,0.0,5.15,5.45,0.0
20050109:0410,0.0,0.0,0.0,5.19,5.31,0.0
20050109:0510,0.0,0.0,0.0,5.33,5.17,0.0
20050109:0610,0.0,0.0,0.0,5.42,4.9,0.0
20050109:0710,0.0,0.0,0.0,5.23,4.07,0.0
20050109:0810,0.0,0.0,0.0,5.51,4.28,0.0
20050109:0910,15.58,15.14,6.53,6.39,4.41,0.0
20050109:1010,143.26,67.59,11.9,7.71,5.03,0.0
20050109:1110,264.16,111.98,15.34,8.88,5.24,0.0
20050109:1210,1192.38,442.9,16.55,9.3,6.07,0.0
20050109:1310,850.5,317.85,15.41,9.53,7.59,0.0
20050109:1410,182.02,82.32,12.03,9.36,7.17,0.0
20050109:1510,37.09,25.54,6.71,9.4,6.83,0.0
20050109:1610,0.0,0.0,-0.15,9.7,6.97,0.0
20050109:1710,0.0,0.0,0.0,10.68,7.31,0.0
20050109:1810,0.0,0.0,0.0,11.5,7.66,0.0
20050109:1910,0.0,0.0,0.0,11.54,7.72,0.0
20050109:2010,0.0,0.0,0.0,11.63,7.79,0.0
20050109:2110,0.0,0.0,0.0,11.57,8.07,0.0
20050109:2210,0.0,0.0,0.0,11.47,8.28,0.0
20050109:2310,0.0,0.0,0.0,11.3,8.48,0.0
20050110:0010,0.0,0.0,0.0,11.27,8.55,0.0
20050110:0110,0.0,0.0,0.0,11.2,8.62,0.0
20050110:0210,0.0,0.0,0.0,11.02,8.69,0.0
20050110:0310,0.0,0.0,0.0,11.07,8.69,0.0
20050110:0410,0.0,0.0,0.0,11.12,8.62,0.0
20050110:0510,0.0,0.0,0.0,11.02,8.55,0.0
20050110:0610,0.0,0.0,0.0,11.0,8.55,0.0
20050110:0710,0.0,0.0,0.0,10.92,7.93,0.0
20050110:0810,0.0,0.0,0.0,10.87,7.72,0.0
20050110:0910,16.99,16.08,6.62,10.74,7.38,0.0
20050110:1010,9.95,12.3,12.01,10.66,7.03,0.0
20050110:1110,36.86,25.54,15.47,10.54,6.62,0.0
20050110:1210,56.51,34.06,16.69,10.27,6.0,0.0
20050110:1310,28.64,21.76,15.57,10.22,5.1,0.0
20050110:1410,17.02,16.08,12.2,10.21,4.07,0.0
20050110:1510,5.25,9.46,6.89,10.25,3.72,0.0
20050110:1610,0.83,6.34,0.02,10.12,3.31,0.0
20050110:1710,0.0,0.0,0.0,9.59,3.17,0.0
20050110:1810,0.0,0.0,0.0,8.79,3.24,0.0
20050110:1910,0.0,0.0,0.0,8.09,3.24,0.0
20050110:2010,0.0,0.0,0.0,7.89,3.59,0.0
20050110:2110,0.0,0.0,0.0,7.69,3.59,0.0
20050110:2210,0.0,0.0,0.0,7.16,3.45,0.0
20050110:2310,0.0,0.0,0.0,6.65,3.59,0.0
20050111:0010,0.0,0.0,0.0,6.5,3.66,0.0
20050111:0110,0.0,0.0,0.0,6.48,3.59,0.0
20050111:0210,0.0,0.0,0.0,6.43,3.52,0.0
20050111:0310,0.0,0.0,0.0,6.56,3.52,0.0
20050111:0410,0.0,0.0,0.0,6.8,3.66,0.0
20050111:0510,0.0,0.0,0.0,7.03,3.93,0.0
20050111:0610,0.0,0.0,0.0,7.44,4.55,0.0
20050111:0710,0.0,0.0,0.0,7.97,5.1,0.0
20050111:0810,0.0,0.0,0.0,8.01,5.24,0.0
20050111:0910,10.11,12.3,6.71,8.27,5.59,0.0
20050111:1010,10.08,12.3,12.12,8.97,6.21,0.0
20050111:1110,50.02,31.22,15.6,9.7,6.9,0.0
20050111:1210,28.67,21.76,16.85,10.29,8.07,0.0
20050111:1310,26.56,20.81,15.73,10.91,8.69,0.0
20050111:1410,40.9,27.43,12.37,11.54,9.1,0.0
20050111:1510,16.86,16.08,7.06,11.81,9.38,0.0
20050111:1610,3.23,8.15,0.2,11.64,9.1,0.0
20050111:1710,0.0,0.0,0.0,11.53,7.93,0.0
20050111:1810,0.0,0.0,0.0,10.21,6.83,0.0
20050111:1910,0.0,0.0,0.0,9.1,6.0,0.0
20050111:2010,0.0,0.0,0.0,7.75,5.86,0.0
20050111:2110,0.0,0.0,0.0,7.24,5.93,0.0
20050111:2210,0.0,0.0,0.0,7.13,6.07,0.0
20050111:2310,0.0,0.0,0.0,6.97,6.14,0.0
20050112:0010,0.0,0.0,0.0,6.8,6.34,0.0
20050112:0110,0.0,0.0,0.0,6.74,6.48,0.0
20050112:0210,0.0,0.0,0.0,6.67,6.41,0.0
20050112:0310,0.0,0.0,0.0,6.26,6.14,0.0
20050112:0410,0.0,0.0,0.0,5.83,5.93,0.0
20050112:0510,0.0,0.0,0.0,5.53,5.86,0.0
20050112:0610,0.0,0.0,0.0,5.3,5.86,0.0
20050112:0710,0.0,0.0,0.0,5.63,5.52,0.0
20050112:0810,0.0,0.0,0.0,5.42,5.59,0.0
20050112:0910,231.23,102.34,6.82,5.51,5.79,0.0
20050112:1010,867.3,323.21,12.24,6.28,6.21,0.0
20050112:1110,1384.58,511.45,15.74,7.11,5.59,0.0
20050112:1210,1697.28,629.56,17.01,7.79,6.41,0.0
20050112:1310,1553.47,574.29,15.9,8.24,6.9,0.0
20050112:1410,1447.39,534.81,12.55,8.33,7.1,0.0
20050112:1510,857.06,320.81,7.25,7.99,6.9,0.0
20050112:1610,7.68,10.86,0.38,7.32,6.48,0.0
20050112:1710,0.0,0.0,0.0,6.66,6.07,0.0
20050112:1810,0.0,0.0,0.0,5.96,5.79,0.0
20050112:1910,0.0,0.0,0.0,5.44,5.31,0.0
20050112:2010,0.0,0.0,0.0,5.15,5.31,0.0
20050112:2110,0.0,0.0,0.0,4.93,5.03,0.0
20050112:2210,0.0,0.0,0.0,4.66,4.83,0.0
20050112:2310,0.0,0.0,0.0,4.35,4.55,0.0
20050113:0010,0.0,0.0,0.0,4.03,4.34,0.0
20050113:0110,0.0,0.0,0.0,3.71,4.14,0.0
20050113:0210,0.0,0.0,0.0,3.37,3.93,0.0
20050113:0310,0.0,0.0,0.0,2.97,3.59,0.0
20050113:0410,0.0,0.0,0.0,2.63,3.45,0.0
20050113:0510,0.0,0.0,0.0,2.37,3.38,0.0
20050113:0610,0.0,0.0,0.0,2.18,0.0,0.0
20050113:0710,0.0,0.0,0.0,2.07,0.0,0.0
20050113:0810,0.0,0.0,0.0,1.85,3.03,0.0
20050113:0910,253.38,109.35,6.93,2.05,2.9,0.0
20050113:1010,296.06,121.19,12.37,3.33,2.55,0.0
20050113:1110,1192.58,442.61,15.89,4.99,2.69,0.0
20050113:1210,938.08,350.0,17.17,6.29,2.9,0.0
20050113:1310,1799.46,686.81,16.08,7.06,3.03,0.0
20050113:1410,1474.62,556.71,12.74,7.32,2.97,0.0
20050113:1510,890.94,337.53,7.43,7.0,2.14,0.0
20050113:1610,0.0,5.43,0.57,5.97,1.79,0.0
20050113:1710,0.0,0.0,0.0,4.41,1.93,0.0
20050113:1810,0.0,0.0,0.0,2.82,2.0,0.0
20050113:1910,0.0,0.0,0.0,2.13,2.07,0.0
20050113:2010,0.0,0.0,0.0,1.64,1.93,0.0
20050113:2110,0.0,0.0,0.0,1.09,1.93,0.0
20050113:2210,0.0,0.0,0.0,0.98,1.93,0.0
20050113:2310,0.0,0.0,0.0,0.69,2.07,0.0
20050114:0010,0.0,0.0,0.0,1.03,2.14,0.0
20050114:0110,0.0,0.0,0.0,1.31,2.28,0.0
20050114:0210,0.0,0.0,0.0,1.59,2.41,0.0
20050114:0310,0.0,0.0,0.0,1.76,2.34,0.0
20050114:0410,0.0,0.0,0.0,1.51,2.28,0.0
20050114:0510,0.0,0.0,0.0,1.5,2.28,0.0
20050114:0610,0.0,0.0,0.0,1.41,2.41,0.0
20050114:0710,0.0,0.0,0.0,2.04,2.76,0.0
20050114:0810,0.0,0.0,0.0,2.47,2.97,0.0
20050114:0910,181.06,82.55,7.04,3.05,3.24,0.0
20050114:1010,975.58,362.65,12.51,4.16,3.31,0.0
20050114:1110,1309.54,479.7,16.05,5.42,5.45,0.0
20050114:1210,1507.74,555.38,17.34,5.62,4.97,0.0
20050114:1310,1222.91,449.81,16.27,5.72,4.62,0.0
20050114:1410,1098.53,405.04,12.93,5.48,4.14,0.0
20050114:1510,1347.36,501.6,7.63,5.3,4.14,0.0
20050114:1610,3.46,8.15,0.76,5.06,4.0,0.0
20050114:1710,0.0,0.0,0.0,4.89,4.14,0.0
20050114:1810,0.0,0.0,0.0,5.08,4.28,0.0
20050114:1910,0.0,0.0,0.0,5.65,4.48,0.0
20050114:2010,0.0,0.0,0.0,5.83,4.41,0.0
20050114:2110,0.0,0.0,0.0,6.01,4.28,0.0
20050114:2210,0.0,0.0,0.0,6.43,4.21,0.0
20050114:2310,0.0,0.0,0.0,6.62,4.14,0.0
20050115:0010,0.0,0.0,0.0,6.76,4.0,0.0
20050115:0110,0.0,0.0,0.0,6.92,3.93,0.0
20050115:0210,0.0,0.0,0.0,7.07,3.93,0.0
20050115:0310,0.0,0.0,0.0,7.21,3.93,0.0
20050115:0410,0.0,0.0,0.0,7.31,3.86,0.0
20050115:0510,0.0,0.0,0.0,7.4,3.79,0.0
20050115:0610,0.0,0.0,0.0,7.47,3.72,0.0
20050115:0710,0.0,0.0,0.0,7.42,3.59,0.0
20050115:0810,0.0,0.0,0.0,7.52,3.45,0.0
20050115:0910,0.0,4.73,7.17,7.61,3.45,0.0
20050115:1010,33.18,23.65,12.65,7.79,3.59,0.0
20050115:1110,48.16,30.27,16.21,8.12,3.72,0.0
20050115:1210,61.47,35.95,17.52,8.76,4.41,0.0
20050115:1310,108.77,54.87,16.46,8.95,3.93,0.0
20050115:1410,520.67,202.95,13.12,9.03,3.72,0.0
20050115:1510,1195.78,453.13,7.82,8.71,3.38,0.0
20050115:1610,14.18,14.48,0.96,7.94,3.31,0.0
20050115:1710,0.0,0.0,0.0,7.08,3.24,0.0
20050115:1810,0.0,0.0,0.0,6.57,3.45,0.0
20050115:1910,0.0,0.0,0.0,5.96,3.59,0.0
20050115:2010,0.0,0.0,0.0,5.68,3.72,0.0
20050115:2110,0.0,0.0,0.0,5.53,3.72,0.0
20050115:2210,0.0,0.0,0.0,5.37,3.72,0.0
20050115:2310,0.0,0.0,0.0,5.2,3.59,0.0
20050116:0010,0.0,0.0,0.0,5.08,3.38,0.0
20050116:0110,0.0,0.0,0.0,4.9,3.17,0.0
20050116:0210,0.0,0.0,0.0,4.85,3.17,0.0
20050116:0310,0.0,0.0,0.0,4.77,3.1,0.0
20050116:0410,0.0,0.0,0.0,4.76,3.03,0.0
20050116:0510,0.0,0.0,0.0,4.66,2.9,0.0
20050116:0610,0.0,0.0,0.0,4.65,2.76,0.0
20050116:0710,0.0,0.0,0.0,5.4,3.03,0.0
20050116:0810,0.0,0.0,0.0,6.24,3.17,0.0
20050116:0910,6.91,10.41,7.3,7.35,3.59,0.0
20050116:1010,394.24,158.46,12.8,8.53,4.28,0.0
20050116:1110,52.32,32.16,16.38,9.27,5.17,0.0
20050116:1210,1636.16,615.69,17.71,9.99,5.52,0.0
20050116:1310,1407.55,528.73,16.66,10.5,5.38,0.0
20050116:1410,293.57,123.28,13.33,10.73,5.59,0.0
20050116:1510,34.75,24.6,8.03,10.45,5.24,0.0
20050116:1610,17.47,16.29,1.16,9.88,4.97,0.0
20050116:1710,0.0,0.0,0.0,9.43,4.69,0.0
20050116:1810,0.0,0.0,0.0,8.83,4.28,0.0
20050116:1910,0.0,0.0,0.0,7.53,4.0,0.0
20050116:2010,0.0,0.0,0.0,6.79,3.79,0.0
20050116:2110,0.0,0.0,0.0,6.11,3.72,0.0
20050116:2210,0.0,0.0,0.0,5.6,3.86,0.0
20050116:2310,0.0,0.0,0.0,5.1,4.07,0.0
20050117:0010,0.0,0.0,0.0,4.98,4.34,0.0
20050117:0110,0.0,0.0,0.0,5.09,4.55,0.0
20050117:0210,0.0,0.0,0.0,5.25,4.62,0.0
20050117:0310,0.0,0.0,0.0,5.58,4.9,0.0
20050117:0410,0.0,0.0,0.0,6.08,5.1,0.0
20050117:0510,0.0,0.0,0.0,6.47,5.45,0.0
20050117:0610,0.0,0.0,0.0,6.85,5.72,0.0
20050117:0710,0.0,0.0,0.0,7.28,5.79,0.0
20050117:0810,0.0,0.0,0.0,7.78,6.0,0.0
20050117:0910,23.01,18.92,7.43,7.99,6.41,0.0
20050117:1010,197.86,87.78,12.96,8.25,6.76,0.0
20050117:1110,99.46,51.08,16.56,8.51,6.97,0.0
20050117:1210,45.86,29.33,17.9,8.83,7.24,0.0
20050117:1310,37.18,25.54,16.86,9.03,7.17,0.0
20050117:1410,37.12,25.54,13.54,9.22,6.69,0.0
20050117:1510,17.15,16.08,8.24,9.21,6.41,0.0
20050117:1610,0.0,3.78,1.37,8.87,5.72,0.0
20050117:1710,0.0,0.0,0.0,8.37,5.66,0.0
20050117:1810,0.0,0.0,0.0,7.6,6.28,0.0
20050117:1910,0.0,0.0,0.0,7.21,5.93,0.0
20050117:2010,0.0,0.0,0.0,6.96,5.93,0.0
20050117:2110,0.0,0.0,0.0,6.74,6.07,0.0
20050117:2210,0.0,0.0,0.0,6.26,5.93,0.0
20050117:2310,0.0,0.0,0.0,5.5,5.45,0.0
20050118:0010,0.0,0.0,0.0,4.79,6.14,0.0
20050118:0110,0.0,0.0,0.0,3.79,5.24,0.0
20050118:0210,0.0,0.0,0.0,3.02,4.55,0.0
20050118:0310,0.0,0.0,0.0,2.59,5.31,0.0
20050118:0410,0.0,0.0,0.0,2.38,6.14,0.0
20050118:0510,0.0,0.0,0.0,2.25,6.21,0.0
20050118:0610,0.0,0.0,0.0,1.76,6.14,0.0
20050118:0710,0.0,0.0,0.0,1.61,4.83,0.0
20050118:0810,0.0,0.0,0.0,1.31,5.03,0.0
20050118:0910,261.89,111.47,7.58,1.33,5.38,0.0
20050118:1010,1020.13,372.1,13.12,1.94,5.03,0.0
20050118:1110,1549.5,563.07,16.74,2.72,5.24,0.0
20050118:1210,1372.42,497.24,18.1,3.58,5.86,0.0
20050118:1310,190.88,84.19,17.07,4.62,6.55,0.0
20050118:1410,1472.54,535.53,13.75,5.41,7.52,0.0
20050118:1510,1183.42,432.76,8.45,5.64,8.0,0.0
20050118:1610,21.31,17.97,1.58,6.05,7.59,0.0
20050118:1710,0.0,0.0,0.0,5.84,7.31,0.0
20050118:1810,0.0,0.0,0.0,5.66,7.1,0.0
20050118:1910,0.0,0.0,0.0,5.91,7.66,0.0
20050118:2010,0.0,0.0,0.0,5.76,7.1,0.0
20050118:2110,0.0,0.0,0.0,5.38,6.83,0.0
20050118:2210,0.0,0.0,0.0,5.04,6.62,0.0
20050118:2310,0.0,0.0,0.0,4.53,6.48,0.0
20050119:0010,0.0,0.0,0.0,4.07,6.41,0.0
20050119:0110,0.0,0.0,0.0,3.79,6.28,0.0
20050119:0210,0.0,0.0,0.0,3.42,5.86,0.0
20050119:0310,0.0,0.0,0.0,3.15,5.66,0.0
20050119:0410,0.0,0.0,0.0,3.04,5.31,0.0
20050119:0510,0.0,0.0,0.0,3.0,5.03,0.0
20050119:0610,0.0,0.0,0.0,3.13,4.83,0.0
20050119:0710,0.0,0.0,0.0,3.57,4.62,0.0
